Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
World,39408,39637.539,39212.738,41151.661,43384.23,43846.939,43969.161,44313.713,43837.492,41950.982,42906.363,42909.341,43508.608,42344.004,42071.994,44034.276,45274.942,47139.687,47535.552,,
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Albania,0,0,0,0,0,0,0,0,0,1.32,0,1.79,0,0,0.904,0,0,0,0,,
Algeria,6.485,4.386,7.807,8.206,7.051,6.385,7.164,7.77,9.632,7.922,6.926,4.459,6.385,3.16,6.363,5.779,4.647,4.44,4.08,,
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Argentina,26.432,27.719,10.514,4.799,6.246,4.205,1.444,3.215,1.661,0,0,0,4.42,6.15,9.519,16.53,15.757,22.34,11.38,,
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Aruba,2.189,1.429,2.739,52.972,68.864,108.415,113.38,73.524,36.513,6.935,2.699,1.386,2.93,10.841,35.749,46.917,0,0,0,,
Australia,405.511,427.117,427.097,409.53,361.613,405.249,380.353,397.334,410.988,384.593,426.955,505.703,469.989,471.438,440.888,392.67,308.553,322.241,356.87,335.516,236.663
Austria,147.279,160.323,163.917,157.88,152.273,158.162,155.457,153.276,158.354,149.904,137.203,147.259,150.481,157.052,151.64,163.129,147.642,145.764,168.258,175.022,149.003
Azerbaijan,0.057,0,0,0,0,0,0,0,0.195,0.02,0,0.093,0,0,0,0.576,0,1.26,0,,
Bahrain,238.347,225,220.26,210,216.338,221.52,228.4,229,212,223.76,224.96,219.333,219.917,218.917,211.083,246.417,217.463,232.62,228.8,,
Bangladesh,26.33,28.637,26.044,27.249,25.555,25.466,25.575,24.718,21.227,21.207,26.024,24.718,25.84,24.146,26.698,22.309,26.089,23.32,21.6,,
Barbados,0,0,1.118,0,0,2.636,0,0,5.255,0.677,1.328,0.465,0.036,0.742,0.092,0.046,0,0,0,,
Belarus,240.2,238.26,280.48,297.7,356.28,386.36,418.12,400.72,429.22,430.18,294.78,408.72,433.38,425.22,450.16,458.38,369.41,374.918,383.241,,
Belgium,684.685,644.946,675.213,731.851,692.84,645.43,637.091,665.844,681.121,630.468,672.063,602.785,635.693,557.657,649.933,647.752,641.754,688.883,666.672,694.603,547.867
Belize,0,0,0,0,0,0,0,0,0,0.01,0,0.134,0,0,0,0,0,0,0,,
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Bosnia and Herzegovina,1.619,3.234,4.737,1.423,3.497,2.744,0.386,0.305,2.358,20.024,23.093,24.903,20.776,21.122,19.333,18.865,18.531,17.12,13.9,,
Botswana,0.003,0.002,0.005,0.008,0.004,0.002,0.003,0.002,0.003,0.002,0.003,0.002,0.006,0.003,0.002,0.005,0,0,0,,
Brazil,398.506,417.955,382.133,342.819,450.855,343.217,334.68,415.74,381.306,375.189,338.933,332.009,345.107,394.639,350.275,297.863,154.441,149.247,186.195,,
British Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Brunei,4.042,3.808,3.574,0.003,1.611,2.115,1.326,0.195,0.255,0.105,0.046,0.143,0.152,0.128,0.187,0.409,0,0,0,,
Bulgaria,105.612,107.259,104.729,101.395,106.215,121.357,142.503,142.845,144.973,123.666,109.127,100.19,118.184,113.284,102.479,121.859,136.068,143.562,119.761,,
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Burma,11.903,10.745,9.387,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,,
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
